010,2,0,50,0.2899441719055176,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,58,0.2961719036102295,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,66,0.3367629051208496,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,53,0.31557726860046387,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,0.31654834747314453,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,58,0.31816864013671875,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,55,0.3168303966522217,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,70,0.369370698928833,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,71,0.3359665870666504,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,66,0.3388485908508301,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,45,0.33093905448913574,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,54,0.33818674087524414,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,60,0.3396930694580078,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,50,0.37905383110046387,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,50,0.37126636505126953,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,74,0.3783559799194336,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,69,0.3763740062713623,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,58,0.36540961265563965,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,68,0.547351598739624,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,1,0,60,0.5466792583465576,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,58,0.5413322448730469,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,49,0.549626350402832,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,50,0.5574378967285156,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,50,0.991396427154541,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,71,0.8988833427429199,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,50,0.9104833602905273,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,50,0.9615545272827148,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,73,0.9497206211090088,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,50,0.2778604030609131,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,55,0.27199530601501465,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,47,0.2705399990081787,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,59,0.27315592765808105,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,54,0.28018712997436523,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,60,0.29543113708496094,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,52,0.3442349433898926,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,62,0.2937309741973877,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,49,0.2916698455810547,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,60,0.294461727142334,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,53,0.3083007335662842,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,57,0.31810712814331055,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,66,0.36095547676086426,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,55,0.3014945983886719,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,56,0.3010993003845215,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,50,0.3247823715209961,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,64,0.33559632301330566,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,51,0.34131741523742676,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,47,0.33783411979675293,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,60,0.3241851329803467,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,56,0.3617827892303467,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,70,0.3765239715576172,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,0,52,0.38815951347351074,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,66,0.36369848251342773,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,58,0.37761831283569336,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,69,0.54598069190979,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,67,0.6084654331207275,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,74,0.5573403835296631,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,3,0,49,0.5561478137969971,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,50,0.5609452724456787,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,68,0.9432859420776367,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,0,50,1.019681692123413,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,50,0.9465885162353516,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
