100,1,8000,67,3.8160691261291504,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,8000,66,4.87292218208313,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,3,8000,67,2.1767711639404297,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,4,8000,67,2.7054946422576904,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,8000,66,1.4080629348754883,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,8000,66,2.3210489749908447,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,8000,66,0.9289045333862305,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,8000,66,0.7000091075897217,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,8000,61,2.8232502937316895,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,56,1.2509393692016602,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
010,1,8000,68,0.8845794200897217,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,8000,62,0.7156689167022705,{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
010,3,8000,52,1.1361873149871826,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,8000,59,1.659266471862793,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,0,8000,67,1.0048189163208008,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,8000,59,0.7402350902557373,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,2,8000,67,1.4457950592041016,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,8000,67,0.9347684383392334,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,8000,64,0.9757177829742432,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,8000,64,0.5014417171478271,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,8000,66,0.46106934547424316,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,8000,66,0.5345721244812012,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,8000,64,1.4699718952178955,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,8000,66,0.8740663528442383,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,8000,66,2.123880386352539,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
030,1,8000,64,2.186967134475708,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,8000,66,1.4481134414672852,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,8000,62,0.9401090145111084,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,4,8000,66,1.1210243701934814,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,8000,62,1.947425365447998,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,1,8000,62,1.8072247505187988,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,2,8000,68,1.0588598251342773,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,8000,67,2.838057518005371,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,8000,64,2.297379732131958,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,0,8000,66,2.6615498065948486,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,1,8000,67,3.0461513996124268,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,8000,66,3.974835157394409,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,3,8000,64,2.6552438735961914,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,4,8000,67,4.789327144622803,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
